MobileOS,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05
Android,1.75,5.47,6.12,5.56,5.47,0.3,5.19,5.45,5.94,6.83,8.23,10.62,11.9,12.86,14.44,13.37,9.75,9.63,16.85,19.1,23.22,23.34,23.77,25.46,26.68,29.31,31.83,30.81,32.23,34.79,35.8,39.37,39.52,40.03,39.67,40.92,41.77,41.66,40.83,40.69,40.44,39.77,40.31,40.85,41.3,40.3,39.83,40.22,39.4,38.83,40.14,40.08,39.88,39.36,38.77,39.05,38.46,38.66,39.18,39.25,38.09,40.37,40.72,41.38,42.72,42.93,42.83,43.43,42.33,41.36,45.66,47.32,45.4,44.73,44.48,47.51,48.52,48.12,46.79,46.37,47.15,47.25,46.03,45.65,45.05,44.68,46.07,45.87,45.53,44.76,46.19,44.13,46.3,43.75,44.91,45.14,44.97,44.9,45.43,45.07,45.4,46.04,46.91,45.09,45.33,44.37,44.01,45.04,45.99,45.48,43.24,45.79,45.09,45.94,47.39,46.47,45.96,43.57,37.57,42.75,42.43,42.29,44.89,45.07,46.13
BlackBerry OS,2.16,12.36,4.74,5.52,12.98,20.07,20.13,17.69,16.8,17.73,23.14,19.66,20.13,24.24,28.67,30.46,30.56,31.8,32.77,34.42,29.45,32.02,34.34,32.15,27.78,23.39,20.66,23.31,23.45,16.6,15.87,13.83,12.2,10.1,7.6,6.52,5.83,5.23,4.93,4.25,4.02,3.64,3.24,2.84,2.64,2.39,2.23,1.89,1.71,1.61,1.49,1.43,1.38,1.38,3.53,5.11,5.71,5.85,5.33,5.01,3.79,2.96,1.88,1.62,1.54,1.53,1.48,1.23,1.12,0.92,1.03,0.88,0.8,0.73,0.71,0.57,0.46,0.32,0.37,0.34,0.3,0.33,0.28,0.37,0.24,0.24,0.2,0.22,0.24,0.19,0.17,0.17,0.16,0.15,0.13,0.13,0.13,0.12,0.11,0.11,0.1,0.08,0.08,0.08,0.09,0.07,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.06,0.06,0.06,0.03
Brew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.08,0.09,0.11,0.11,0.11,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.07,0.07,0.06,0.06,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
iOS,59.18,60.48,68.06,69.79,63.1,59.98,56.64,57.6,55.92,56.24,51.9,53.26,53.58,50.63,45.49,43.33,42.58,40.06,37.99,36.55,37.32,35.16,32.96,33.55,35.04,36.74,39.01,36.8,34.09,36.05,38.65,38.1,39.12,40.4,42.79,42.52,45.37,47.42,48.35,48.85,48.82,50.21,50.43,50.4,50.46,50.75,50.63,50.49,52.69,53.48,52.5,53.51,54.24,54.85,53.91,52.22,51.95,51.54,51.63,51.75,54.49,52.87,53.02,52.5,51.17,51.36,51.51,51.4,53.31,55.22,51,49.54,51.38,52.18,52.59,49.5,48.64,49.38,50.68,51.17,50.37,50.09,51.64,51.86,52.9,53.37,52.16,52.42,52.78,53.67,52.41,54.47,51.72,54.77,53.83,53.7,53.89,54.01,53.57,53.88,53.49,53.07,52.17,54.12,53.85,54.96,55.42,54.42,53.44,54.02,56.26,53.6,54.4,53.6,52.19,53.13,53.7,56.08,62.01,56.91,57.22,57.33,54.74,54.61,53.62
LG,0,0,0,0,0,0,0.14,0.75,0.79,0.66,0.57,0.57,0.52,0.44,0.4,0.26,0.06,0.05,0.18,0.18,0.15,0.12,0.1,0.09,0.08,0.07,0.06,0.05,0.05,0.05,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.09,0.09,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.07,0.06,0.07,0.06,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0
Linux,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.05,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.11,0.13,0.16,0.17,0.12,0.1,0.08,0.07,0.09,0.09,0.09,0.09,0.09,0.1,0.06,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.04,0.02,0.03,0.04,0.05,0.05,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Nintendo,0,0,0,0,0,0,0.17,0.69,0.62,0.56,0.48,0.71,0.79,0.81,0.65,0.47,0.45,0.49,0.46,0.45,0.32,0.27,0.27,0.3,0.32,0.28,0.31,0.3,0.24,0.27,0.28,0.29,0.25,0.28,0.25,0.24,0.19,0.14,0.15,0.16,0.15,0.14,0.18,0.17,0.14,0.13,0.13,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.11,0.11,0.09,0.08,0.07,0.06,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nintendo 3DS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.32,0.26,0.35,0.41,0.44,0.44,0.5,0.54,0.46,0.41,0.41,0.39,0.38,0.37,0.44,0.45,0.29,0.32,0.28,0.19,0.14,0.12,0.12,0.09,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.03,0.04,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0
Nokia Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0.04,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.02,0.01,0.03,0.05,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.16,0.06,0.05,0.04,0.04,0.04,0.03,0.03,0.04,0.02,0.02,0.02,0.02,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0
Other,1.61,1.85,1.74,1.65,1.56,1.45,1.34,1.61,1.67,1.4,1.15,1.01,0.77,0.68,0.59,0.35,0.04,0.03,0.23,0.23,0.2,0.15,0.13,0.12,0.09,0.08,0.07,0.06,0.05,0.05,0.04,0.04,0.03,0.09,0.09,0.08,0.07,0.07,0.07,0.06,0.05,0.05,0.12,0.16,0.15,0.13,0.12,0.05,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0.02,0,0.01,0.01,0.01,0,0.01,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Playstation,7.51,6.39,6.35,5.4,5.02,5.04,4.43,3.84,3.27,3.02,2.85,2.83,2.18,1.64,1.68,1.73,1.56,1.65,1.41,1.08,0.84,0.69,0.64,0.69,0.65,0.61,0.61,0.6,0.51,0.6,0.56,0.62,0.58,0.62,0.57,0.58,0.5,0.39,0.47,0.45,0.43,0.41,0.43,0.41,0.3,0.25,0.23,0.21,0.18,0.15,0.16,0.15,0.15,0.17,0.17,0.16,0.12,0.1,0.08,0.06,0.08,0.15,0.14,0.13,0.13,0.12,0.13,0.1,0.07,0.09,0.08,0.07,0.1,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01
Samsung,0,0,0,0,0,0,0.58,2.2,2.25,2.2,2.07,2.05,1.74,1.63,1.56,2.02,3.1,3.13,2.47,2.14,2.28,1.94,1.92,1.98,1.89,1.83,1.62,1.56,1.57,1.79,1.44,1.3,1.28,1.19,1.08,1.1,0.98,0.81,0.8,0.72,0.73,0.64,0.53,0.45,0.41,0.66,0.87,0.92,0.71,0.73,0.73,0.59,0.5,0.47,0.36,0.33,0.45,0.39,0.39,0.42,0.36,0.37,0.46,0.43,0.44,0.3,0.3,0.29,0.22,0.13,0.07,0.07,0.07,0.06,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.11,0.11,0.14,0.15,0.16,0.15,0.18,0.2,0.18,0.23,0.17,0.18,0.08,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.09,0.1,0.08,0.08,0.08,0.07,0.06,0.07
Series 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,1.92,1.95,1.48,1.5,1.47,2.12,2.53,2.57,1.99,2,1.69,1.03,0.84,0.75,0.53,0.42,0.49,0.51,0.5,0.64,0.59,0.68,1.09,1.11,1.14,0.89,0.86,0.79,0.62,0.35,0.15,0.18,0.18,0.16,0.12,0.15,0.14,0.09,0.07,0.06,0.06,0.06,0.03,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.03,0.09,0.05,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0
Sony Ericsson,0,0,0,0,0,0,0.11,0.43,0.58,0.55,0.48,0.49,0.43,0.34,0.33,0.32,0.3,0.3,0.27,0.24,0.25,0.24,0.24,0.21,0.3,0.31,0.18,0.21,0.28,0.36,0.19,0.09,0.07,0.06,0.06,0.08,0.06,0.05,0.05,0.05,0.06,0.04,0.03,0.03,0.02,0.04,0.05,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbianOS,5.61,3.05,2.74,2.47,2.64,2.95,1.1,1.36,2.82,1.94,1.73,1.59,1.41,0.93,0.87,0.94,0.98,1.19,1.46,1.35,1.37,1.36,1.22,1.19,2.97,3.16,1.52,2.54,4.07,5.99,3.83,2.9,3.12,3.22,4.66,4.68,2.1,1.44,1.42,1.3,0.4,0.32,0.21,0.18,0.17,0.42,0.55,0.7,0.54,0.49,0.5,0.43,0.39,0.32,0.2,0.2,0.23,0.23,0.2,0.22,0.21,0.2,0.24,0.24,0.23,0.2,0.21,0.18,0.14,0.07,0.03,0.03,0.03,0.05,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0
Unknown,14.27,5.9,6.48,6.35,6.36,7.37,7.38,4.57,5.31,5.14,4.53,4.76,4.33,3.89,3.55,5.12,9.05,10.11,4.25,2.77,3.22,3.49,3.32,3.27,3.11,2.96,2.86,2.59,2.44,2.42,2.27,2.35,2.6,2.7,1.95,1.92,1.73,1.45,1.44,1.25,1.18,1.11,1.07,1,0.98,0.97,0.98,0.99,0.88,0.83,0.78,0.72,0.68,0.64,0.39,0.38,0.42,0.45,0.45,0.48,0.42,0.4,0.41,0.43,0.45,0.42,0.45,0.46,0.36,0.24,0.21,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.17,0.18,0.2,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.14,0.13,0.17,0.62,0.25,0.21,0.19,0.2,0.19,0.2,0.25,0.32,0.17,0.18,0.14,0.18,0.17,0.15,0.16,0.19,0.15,0.17,0.2,0.16,0.13,0.12,0.08,0.05,0.04,0.04,0.04,0.04,0.06,0.04,0.03,0.02
webOS,0,0,0,0,0,0,0.22,1.06,1.23,1.63,1.31,1.15,1.17,1.09,1.05,1.16,1.42,1.44,1.33,1.17,1.1,0.95,0.84,0.75,0.65,0.6,0.55,0.47,0.38,0.36,0.32,0.31,0.29,0.25,0.22,0.19,0.15,0.13,0.1,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Windows,4.58,4.5,3.77,3.25,2.87,2.84,2.56,2.76,2.79,2.1,1.56,1.31,1.05,0.84,0.72,0.46,0.16,0.13,0.33,0.3,0.29,0.28,0.25,0.23,0.44,0.66,0.71,0.7,0.64,0.66,0.72,0.8,0.9,1.02,0.99,0.95,0.88,0.9,0.96,1,1.12,1.05,1.24,1.26,1.27,1.21,1.24,1.19,1.16,1.16,1.24,1.28,1.32,1.4,1.43,1.49,1.59,1.7,1.69,1.69,1.57,1.65,1.66,1.79,1.82,1.91,1.88,1.79,1.59,1.45,1.55,1.51,1.64,1.62,1.58,1.77,1.74,1.62,1.64,1.57,1.63,1.7,1.58,1.65,1.35,1.27,1.11,1.05,1.03,0.94,0.84,0.8,0.74,0.67,0.58,0.51,0.48,0.44,0.4,0.37,0.36,0.33,0.32,0.29,0.28,0.25,0.23,0.21,0.2,0.18,0.17,0.18,0.17,0.15,0.14,0.13,0.11,0.11,0.13,0.11,0.1,0.1,0.12,0.11,0.08
