age,gender,engnat,Extrav,Neurot,Agree,Consc,Open
53,Male,Yes,4.4,1.1,4.6,4.7,4.3
46,Female,Yes,2.2,3.1,3.5,4.2,2.6
14,Female,No,3.5,4.6,3.8,4.9,4.5
19,Female,No,2.2,4.3,3.7,2.6,4.1
25,Female,No,3.4,3,4.4,3.4,3.4
31,Female,Yes,1.6,2.4,3.6,3.1,3.3
20,Female,Yes,4.6,2.1,4.5,2.8,4.1
23,Male,No,3.9,1.5,4.1,4.4,4.2
39,Female,Yes,4.5,3.5,4.9,4.1,4.1
18,Female,Yes,1.5,3.7,3.5,4,4.1
17,Female,No,1.3,3.6,4.1,2.4,4.2
15,Male,No,3,2.4,3.5,3,3.8
22,Female,Yes,3.4,2.9,4.6,3.9,3.7
21,Female,Yes,1.7,4,3.3,4.3,3.9
28,Female,No,2.6,2.7,4,4,3.6
21,Male,Yes,2.8,1.9,1.7,4.2,4.7
19,Female,Yes,2,2.7,1.7,3.6,4.7
21,Female,Yes,4.6,3.6,4.6,3,3.5
26,Female,Yes,2,3,3.4,4.6,3.7
26,Female,Yes,2.8,3.1,3.5,3.3,4
19,Female,No,2.1,3.6,4.2,2.8,4.1
29,Female,No,3.2,2,3.4,4.1,4.5
29,Female,Yes,2.1,3.4,4.1,4.2,3.9
21,Male,Yes,3.3,2.2,4.1,3.1,3.8
52,Female,Yes,2.7,2.6,3.9,2.5,3.8
19,Female,No,2.3,2.7,4.1,3.5,3.9
48,Male,Yes,4.4,2.8,3.5,2.4,4.4
22,Male,Yes,2.8,2.8,3.8,3,3.1
17,Female,Yes,2.2,4.1,3.7,2,3.9
37,Male,No,3.1,1.9,3.8,3.7,3.6
19,Female,Yes,2.7,3.6,4.2,2.5,3.6
22,Female,Yes,2.6,3.2,3.8,3.1,4.5
25,Male,Yes,4,2.2,3.8,3.8,3.6
20,Female,Yes,4.6,3.9,4.5,1.6,4.6
15,Female,Yes,1.8,3.1,2.9,1.9,2.7
46,Female,Yes,2.7,4.3,3.7,4.5,4.2
15,Male,Yes,2.1,2.5,4.1,3.8,4.4
18,Female,Yes,2.8,2.9,4.4,3.6,4.6
42,Male,Yes,2.1,2.4,2.9,2.2,4.5
27,Female,Yes,2.1,2.9,4.1,4.1,3.9
17,Male,Yes,4.6,1,1.8,4.2,5
17,Female,Yes,3.5,4.1,4.1,4,3.5
17,Female,Yes,2.3,3.3,3.3,3.3,3.6
60,Female,Yes,4.8,4.4,4,4.8,4.3
27,Female,Yes,2.1,4,5,3.3,3.8
